T          V        N   RS       MinV       MaxV
1355298757 1.797650 007 12.584050 1.797650 1.797850
1355298767 1.797750 006 10.786200 1.797650 1.797750
1355298788 1.797850 005 8.988650 1.797650 1.797850
1355298796 1.797650 006 10.786300 1.797650 1.797850
1355298796 1.797950 007 12.584250 1.797650 1.797950
1355298807 1.798050 008 14.382300 1.797650 1.798050
1355298824 1.798150 006 10.787400 1.797650 1.798150
1355298850 1.797950 005 8.989750 1.797650 1.798150
1355298864 1.798050 004 7.192200 1.797950 1.798150
1355298878 1.798150 004 7.192300 1.797950 1.798150
1355298896 1.797950 004 7.192100 1.797950 1.798150
1355298937 1.798150 003 5.394250 1.797950 1.798150
